Location,Status,Prosto,Na voljo,Datum
Žale IV.,Prosto,78,78,2025-03-17 20:48
Žale V.,Prosto,285,100,2025-03-17 20:48
P+R Ježica,Odprto,,,2025-03-17 20:48
P+R Stanežiče,Odprto,,,2025-03-17 20:48
ŠRC Stožice,Prosto,/,509,2025-03-17 20:48
Tacen,Prosto,/,/,2025-03-17 20:48
Bratislavska,Prosto,/,/,2025-03-17 20:48
BS4,Skoraj polno,15,100,2025-03-17 20:48
PH Rog,Prosto,22,80,2025-03-17 20:48
P+R Letališka,Odprto,,,2025-03-17 20:48
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-17 20:48
Bežigrad,Prosto,37,64,2025-03-17 21:04
Dolenjska cesta (Strelišče),Prosto,68,67,2025-03-17 21:04
Gosarjeva ulica,Prosto,43,190,2025-03-17 21:04
Gospodarsko razstavišče,Prosto,441,400,2025-03-17 21:04
Komanova ulica,Zasedeno,/,55,2025-03-17 21:04
PH Kongresni trg,Prosto,166,720,2025-03-17 21:04
Kozolec,Prosto,151,394,2025-03-17 21:04
Kranjčeva ulica,Prosto,78,117,2025-03-17 21:04
Linhartova,Prosto,113,50,2025-03-17 21:04
Metelkova ulica,Prosto,39,89,2025-03-17 21:04
Mirje,Prosto,89,107,2025-03-17 21:04
P+R Barje,Odprto,,,2025-03-17 21:04
P+R Dolgi Most,Odprto,,,2025-03-17 21:04
P+R Studenec,Odprto,,,2025-03-17 21:04
PH Kolezija,Prosto,72,80,2025-03-17 21:04
Pokopališče Polje,Prosto,36,39,2025-03-17 21:04
Povšetova ulica,Prosto,58,81,2025-03-17 21:04
Sanatorij Emona,Prosto,8,25,2025-03-17 21:04
Slovenčeva ulica,Zasedeno,0,128,2025-03-17 21:04
Tivoli I.,Prosto,244,351,2025-03-17 21:04
Tivoli II.,Prosto,132,159,2025-03-17 21:04
Trg mladinskih delovnih brigad,Prosto,15,26,2025-03-17 21:04
Trg prekomorskih brigad,Prosto,30,61,2025-03-17 21:04
Štembalova ulica,Zasedeno,/,155,2025-03-17 21:04
Žale I.,Prosto,74,125,2025-03-17 21:04
Žale II.,Prosto,56,80,2025-03-17 21:04
Žale III.,Prosto,50,83,2025-03-17 21:04
Žale IV.,Prosto,78,78,2025-03-17 21:04
Žale V.,Prosto,285,100,2025-03-17 21:04
P+R Ježica,Odprto,,,2025-03-17 21:04
P+R Stanežiče,Odprto,,,2025-03-17 21:04
ŠRC Stožice,Prosto,/,509,2025-03-17 21:04
Tacen,Prosto,/,/,2025-03-17 21:04
Bratislavska,Prosto,/,/,2025-03-17 21:04
BS4,Prosto,22,100,2025-03-17 21:04
PH Rog,Prosto,22,80,2025-03-17 21:04
P+R Letališka,Odprto,,,2025-03-17 21:04
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-17 21:04
Bežigrad,Prosto,38,64,2025-03-17 21:18
Dolenjska cesta (Strelišče),Prosto,64,67,2025-03-17 21:18
Gosarjeva ulica,Prosto,41,190,2025-03-17 21:18
Gospodarsko razstavišče,Prosto,447,400,2025-03-17 21:18
Komanova ulica,Zasedeno,/,55,2025-03-17 21:18
PH Kongresni trg,Prosto,184,720,2025-03-17 21:18
Kozolec,Prosto,148,394,2025-03-17 21:18
Kranjčeva ulica,Prosto,78,117,2025-03-17 21:18
Linhartova,Prosto,113,50,2025-03-17 21:18
Metelkova ulica,Prosto,39,89,2025-03-17 21:18
Mirje,Prosto,89,107,2025-03-17 21:18
P+R Barje,Odprto,,,2025-03-17 21:18
P+R Dolgi Most,Odprto,,,2025-03-17 21:18
P+R Studenec,Odprto,,,2025-03-17 21:18
PH Kolezija,Prosto,72,80,2025-03-17 21:18
Pokopališče Polje,Prosto,36,39,2025-03-17 21:18
Povšetova ulica,Prosto,60,81,2025-03-17 21:18
Sanatorij Emona,Prosto,11,25,2025-03-17 21:18
Slovenčeva ulica,Zasedeno,0,128,2025-03-17 21:18
Tivoli I.,Prosto,258,351,2025-03-17 21:18
Tivoli II.,Prosto,139,159,2025-03-17 21:18
Trg mladinskih delovnih brigad,Prosto,15,26,2025-03-17 21:18
Trg prekomorskih brigad,Prosto,31,61,2025-03-17 21:18
Štembalova ulica,Zasedeno,/,155,2025-03-17 21:18
Žale I.,Prosto,74,125,2025-03-17 21:18
Žale II.,Prosto,56,80,2025-03-17 21:18
Žale III.,Prosto,50,83,2025-03-17 21:18
Žale IV.,Prosto,78,78,2025-03-17 21:18
Žale V.,Prosto,285,100,2025-03-17 21:18
P+R Ježica,Odprto,,,2025-03-17 21:18
P+R Stanežiče,Odprto,,,2025-03-17 21:18
ŠRC Stožice,Prosto,/,509,2025-03-17 21:18
Tacen,Prosto,/,/,2025-03-17 21:18
Bratislavska,Prosto,/,/,2025-03-17 21:18
BS4,Prosto,28,100,2025-03-17 21:18
PH Rog,Prosto,22,80,2025-03-17 21:18
P+R Letališka,Odprto,,,2025-03-17 21:18
