Location,Status,Prosto,Na voljo,Datum
P+R Studenec,Odprto,,,2025-03-24 01:40
PH Kolezija,Prosto,61,80,2025-03-24 01:40
Pokopališče Polje,Prosto,16,39,2025-03-24 01:40
Povšetova ulica,Prosto,61,81,2025-03-24 01:40
Sanatorij Emona,Prosto,18,25,2025-03-24 01:40
Slovenčeva ulica,Zasedeno,0,128,2025-03-24 01:40
Tivoli I.,Prosto,327,351,2025-03-24 01:40
Tivoli II.,Prosto,164,159,2025-03-24 01:40
Trg mladinskih delovnih brigad,Prosto,17,26,2025-03-24 01:40
Trg prekomorskih brigad,Prosto,43,61,2025-03-24 01:40
Štembalova ulica,Zasedeno,/,155,2025-03-24 01:40
Žale I.,Prosto,82,125,2025-03-24 01:40
Žale II.,Prosto,77,80,2025-03-24 01:40
Žale III.,Prosto,52,83,2025-03-24 01:40
Žale IV.,Prosto,67,78,2025-03-24 01:40
Žale V.,Prosto,285,100,2025-03-24 01:40
P+R Ježica,Odprto,,,2025-03-24 01:40
P+R Stanežiče,Odprto,,,2025-03-24 01:40
ŠRC Stožice,Prosto,/,509,2025-03-24 01:40
Tacen,Prosto,/,/,2025-03-24 01:40
Bratislavska,Prosto,/,/,2025-03-24 01:40
BS4,Prosto,61,100,2025-03-24 01:40
PH Rog,Prosto,29,80,2025-03-24 01:40
P+R Letališka,Odprto,,,2025-03-24 01:40
Parkirišče PH Ilirija,Odprto,,,2025-03-24 01:40
Bežigrad,Prosto,31,64,2025-03-24 01:56
Dolenjska cesta (Strelišče),Prosto,67,67,2025-03-24 01:56
Gosarjeva ulica,Skoraj polno,12,190,2025-03-24 01:56
Gospodarsko razstavišče,Prosto,434,400,2025-03-24 01:56
Komanova ulica,Zasedeno,/,55,2025-03-24 01:56
PH Kongresni trg,Prosto,288,720,2025-03-24 01:56
Kozolec,Prosto,151,394,2025-03-24 01:56
Kranjčeva ulica,Prosto,55,117,2025-03-24 01:56
Linhartova,Prosto,113,50,2025-03-24 01:56
Metelkova ulica,Prosto,30,89,2025-03-24 01:56
Mirje,Prosto,63,107,2025-03-24 01:56
P+R Barje,Odprto,,,2025-03-24 01:56
P+R Dolgi Most,Odprto,,,2025-03-24 01:56
P+R Studenec,Odprto,,,2025-03-24 01:56
PH Kolezija,Prosto,61,80,2025-03-24 01:56
Pokopališče Polje,Prosto,16,39,2025-03-24 01:56
Povšetova ulica,Prosto,61,81,2025-03-24 01:56
Sanatorij Emona,Prosto,18,25,2025-03-24 01:56
Slovenčeva ulica,Zasedeno,0,128,2025-03-24 01:56
Tivoli I.,Prosto,327,351,2025-03-24 01:56
Tivoli II.,Prosto,164,159,2025-03-24 01:56
Trg mladinskih delovnih brigad,Prosto,17,26,2025-03-24 01:56
Trg prekomorskih brigad,Prosto,43,61,2025-03-24 01:56
Štembalova ulica,Zasedeno,/,155,2025-03-24 01:56
Žale I.,Prosto,82,125,2025-03-24 01:56
Žale II.,Prosto,77,80,2025-03-24 01:56
Žale III.,Prosto,52,83,2025-03-24 01:56
Žale IV.,Prosto,67,78,2025-03-24 01:56
Žale V.,Prosto,285,100,2025-03-24 01:56
P+R Ježica,Odprto,,,2025-03-24 01:56
P+R Stanežiče,Odprto,,,2025-03-24 01:56
ŠRC Stožice,Prosto,/,509,2025-03-24 01:56
Tacen,Prosto,/,/,2025-03-24 01:56
Bratislavska,Prosto,/,/,2025-03-24 01:56
BS4,Prosto,61,100,2025-03-24 01:56
PH Rog,Prosto,29,80,2025-03-24 01:56
P+R Letališka,Odprto,,,2025-03-24 01:56
Parkirišče PH Ilirija,Odprto,,,2025-03-24 01:56
Bežigrad,Prosto,31,64,2025-03-24 02:10
Dolenjska cesta (Strelišče),Prosto,67,67,2025-03-24 02:10
Gosarjeva ulica,Skoraj polno,12,190,2025-03-24 02:10
Gospodarsko razstavišče,Prosto,434,400,2025-03-24 02:10
Komanova ulica,Zasedeno,/,55,2025-03-24 02:10
PH Kongresni trg,Prosto,289,720,2025-03-24 02:10
Kozolec,Prosto,151,394,2025-03-24 02:10
Kranjčeva ulica,Prosto,55,117,2025-03-24 02:10
Linhartova,Prosto,113,50,2025-03-24 02:10
Metelkova ulica,Prosto,30,89,2025-03-24 02:10
Mirje,Prosto,63,107,2025-03-24 02:10
P+R Barje,Odprto,,,2025-03-24 02:10
P+R Dolgi Most,Odprto,,,2025-03-24 02:10
P+R Studenec,Odprto,,,2025-03-24 02:10
PH Kolezija,Prosto,61,80,2025-03-24 02:10
Pokopališče Polje,Prosto,16,39,2025-03-24 02:10
Povšetova ulica,Prosto,61,81,2025-03-24 02:10
Sanatorij Emona,Prosto,19,25,2025-03-24 02:10
Slovenčeva ulica,Zasedeno,0,128,2025-03-24 02:10
Tivoli I.,Prosto,327,351,2025-03-24 02:10
Tivoli II.,Prosto,164,159,2025-03-24 02:10
Trg mladinskih delovnih brigad,Prosto,17,26,2025-03-24 02:10
Trg prekomorskih brigad,Prosto,42,61,2025-03-24 02:10
Štembalova ulica,Zasedeno,/,155,2025-03-24 02:10
Žale I.,Prosto,82,125,2025-03-24 02:10
Žale II.,Prosto,77,80,2025-03-24 02:10
Žale III.,Prosto,52,83,2025-03-24 02:10
Žale IV.,Prosto,67,78,2025-03-24 02:10
Žale V.,Prosto,285,100,2025-03-24 02:10
P+R Ježica,Odprto,,,2025-03-24 02:10
P+R Stanežiče,Odprto,,,2025-03-24 02:10
ŠRC Stožice,Prosto,/,509,2025-03-24 02:10
Tacen,Prosto,/,/,2025-03-24 02:10
Bratislavska,Prosto,/,/,2025-03-24 02:10
BS4,Prosto,61,100,2025-03-24 02:10
PH Rog,Prosto,29,80,2025-03-24 02:10
P+R Letališka,Odprto,,,2025-03-24 02:10
Parkirišče PH Ilirija,Odprto,,,2025-03-24 02:10
Bežigrad,Prosto,31,64,2025-03-24 02:26
Dolenjska cesta (Strelišče),Prosto,67,67,2025-03-24 02:26
Gosarjeva ulica,Skoraj polno,12,190,2025-03-24 02:26
Gospodarsko razstavišče,Prosto,434,400,2025-03-24 02:26
Komanova ulica,Zasedeno,/,55,2025-03-24 02:26
PH Kongresni trg,Prosto,289,720,2025-03-24 02:26
Kozolec,Prosto,151,394,2025-03-24 02:26
Kranjčeva ulica,Prosto,55,117,2025-03-24 02:26
Linhartova,Prosto,113,50,2025-03-24 02:26
Metelkova ulica,Prosto,30,89,2025-03-24 02:26
Mirje,Prosto,63,107,2025-03-24 02:26
P+R Barje,Odprto,,,2025-03-24 02:26
P+R Dolgi Most,Odprto,,,2025-03-24 02:26
P+R Studenec,Odprto,,,2025-03-24 02:26
PH Kolezija,Prosto,61,80,2025-03-24 02:26
Pokopališče Polje,Prosto,16,39,2025-03-24 02:26
Povšetova ulica,Prosto,61,81,2025-03-24 02:26
Sanatorij Emona,Prosto,19,25,2025-03-24 02:26
Slovenčeva ulica,Zasedeno,0,128,2025-03-24 02:26
Tivoli I.,Prosto,327,351,2025-03-24 02:26
Tivoli II.,Prosto,164,159,2025-03-24 02:26
Trg mladinskih delovnih brigad,Prosto,17,26,2025-03-24 02:26
Trg prekomorskih brigad,Prosto,42,61,2025-03-24 02:26
Štembalova ulica,Zasedeno,/,155,2025-03-24 02:26
Žale I.,Prosto,82,125,2025-03-24 02:26
Žale II.,Prosto,77,80,2025-03-24 02:26
Žale III.,Prosto,52,83,2025-03-24 02:26
Žale IV.,Prosto,67,78,2025-03-24 02:26
Žale V.,Prosto,285,100,2025-03-24 02:26
P+R Ježica,Odprto,,,2025-03-24 02:26
P+R Stanežiče,Odprto,,,2025-03-24 02:26
ŠRC Stožice,Prosto,/,509,2025-03-24 02:26
Tacen,Prosto,/,/,2025-03-24 02:26
Bratislavska,Prosto,/,/,2025-03-24 02:26
BS4,Prosto,61,100,2025-03-24 02:26
PH Rog,Prosto,29,80,2025-03-24 02:26
P+R Letališka,Odprto,,,2025-03-24 02:26
Parkirišče PH Ilirija,Odprto,,,2025-03-24 02:26
Bežigrad,Prosto,31,64,2025-03-24 02:40
Dolenjska cesta (Strelišče),Prosto,67,67,2025-03-24 02:40
Gosarjeva ulica,Skoraj polno,12,190,2025-03-24 02:40
Gospodarsko razstavišče,Prosto,435,400,2025-03-24 02:40
Komanova ulica,Zasedeno,/,55,2025-03-24 02:40
PH Kongresni trg,Prosto,289,720,2025-03-24 02:40
Kozolec,Prosto,151,394,2025-03-24 02:40
Kranjčeva ulica,Prosto,55,117,2025-03-24 02:40
Linhartova,Prosto,113,50,2025-03-24 02:40
Metelkova ulica,Prosto,30,89,2025-03-24 02:40
Mirje,Prosto,63,107,2025-03-24 02:40
P+R Barje,Odprto,,,2025-03-24 02:40
P+R Dolgi Most,Odprto,,,2025-03-24 02:40
P+R Studenec,Odprto,,,2025-03-24 02:40
PH Kolezija,Prosto,61,80,2025-03-24 02:40
Pokopališče Polje,Prosto,16,39,2025-03-24 02:40
Povšetova ulica,Prosto,61,81,2025-03-24 02:40
Sanatorij Emona,Prosto,19,25,2025-03-24 02:40
Slovenčeva ulica,Zasedeno,0,128,2025-03-24 02:40
Tivoli I.,Prosto,327,351,2025-03-24 02:40
Tivoli II.,Prosto,164,159,2025-03-24 02:40
Trg mladinskih delovnih brigad,Prosto,17,26,2025-03-24 02:40
Trg prekomorskih brigad,Prosto,42,61,2025-03-24 02:40
Štembalova ulica,Zasedeno,/,155,2025-03-24 02:40
Žale I.,Prosto,82,125,2025-03-24 02:40
Žale II.,Prosto,77,80,2025-03-24 02:40
Žale III.,Prosto,52,83,2025-03-24 02:40
Žale IV.,Prosto,67,78,2025-03-24 02:40
Žale V.,Prosto,285,100,2025-03-24 02:40
P+R Ježica,Odprto,,,2025-03-24 02:40
P+R Stanežiče,Odprto,,,2025-03-24 02:40
ŠRC Stožice,Prosto,/,509,2025-03-24 02:40
Tacen,Prosto,/,/,2025-03-24 02:40
Bratislavska,Prosto,/,/,2025-03-24 02:40
BS4,Prosto,61,100,2025-03-24 02:40
PH Rog,Prosto,29,80,2025-03-24 02:40
P+R Letališka,Odprto,,,2025-03-24 02:40
Parkirišče PH Ilirija,Odprto,,,2025-03-24 02:40
Bežigrad,Prosto,31,64,2025-03-24 02:56
Dolenjska cesta (Strelišče),Prosto,67,67,2025-03-24 02:56
Gosarjeva ulica,Skoraj polno,12,190,2025-03-24 02:56
Gospodarsko razstavišče,Prosto,435,400,2025-03-24 02:56
Komanova ulica,Zasedeno,/,55,2025-03-24 02:56
PH Kongresni trg,Prosto,289,720,2025-03-24 02:56
Kozolec,Prosto,151,394,2025-03-24 02:56
Kranjčeva ulica,Prosto,55,117,2025-03-24 02:56
Linhartova,Prosto,113,50,2025-03-24 02:56
Metelkova ulica,Prosto,30,89,2025-03-24 02:56
Mirje,Prosto,63,107,2025-03-24 02:56
P+R Barje,Odprto,,,2025-03-24 02:56
P+R Dolgi Most,Odprto,,,2025-03-24 02:56
P+R Studenec,Odprto,,,2025-03-24 02:56
PH Kolezija,Prosto,61,80,2025-03-24 02:56
Pokopališče Polje,Prosto,16,39,2025-03-24 02:56
Povšetova ulica,Prosto,61,81,2025-03-24 02:56
Sanatorij Emona,Prosto,19,25,2025-03-24 02:56
Slovenčeva ulica,Zasedeno,0,128,2025-03-24 02:56
Tivoli I.,Prosto,327,351,2025-03-24 02:56
Tivoli II.,Prosto,164,159,2025-03-24 02:56
Trg mladinskih delovnih brigad,Prosto,17,26,2025-03-24 02:56
Trg prekomorskih brigad,Prosto,42,61,2025-03-24 02:56
Štembalova ulica,Zasedeno,/,155,2025-03-24 02:56
Žale I.,Prosto,82,125,2025-03-24 02:56
Žale II.,Prosto,77,80,2025-03-24 02:56
Žale III.,Prosto,52,83,2025-03-24 02:56
Žale IV.,Prosto,67,78,2025-03-24 02:56
Žale V.,Prosto,285,100,2025-03-24 02:56
P+R Ježica,Odprto,,,2025-03-24 02:56
P+R Stanežiče,Odprto,,,2025-03-24 02:56
ŠRC Stožice,Prosto,/,509,2025-03-24 02:56
Tacen,Prosto,/,/,2025-03-24 02:56
Bratislavska,Prosto,/,/,2025-03-24 02:56
BS4,Prosto,61,100,2025-03-24 02:56
PH Rog,Prosto,30,80,2025-03-24 02:56
P+R Letališka,Odprto,,,2025-03-24 02:56
Parkirišče PH Ilirija,Odprto,,,2025-03-24 02:56
Bežigrad,Prosto,31,64,2025-03-24 03:10
Dolenjska cesta (Strelišče),Prosto,67,67,2025-03-24 03:10
Gosarjeva ulica,Skoraj polno,12,190,2025-03-24 03:10
Gospodarsko razstavišče,Prosto,435,400,2025-03-24 03:10
Komanova ulica,Zasedeno,/,55,2025-03-24 03:10
PH Kongresni trg,Prosto,289,720,2025-03-24 03:10
Kozolec,Prosto,151,394,2025-03-24 03:10
Kranjčeva ulica,Prosto,55,117,2025-03-24 03:10
Linhartova,Prosto,113,50,2025-03-24 03:10
Metelkova ulica,Prosto,30,89,2025-03-24 03:10
Mirje,Prosto,63,107,2025-03-24 03:10
P+R Barje,Odprto,,,2025-03-24 03:10
P+R Dolgi Most,Odprto,,,2025-03-24 03:10
P+R Studenec,Odprto,,,2025-03-24 03:10
PH Kolezija,Prosto,61,80,2025-03-24 03:10
Pokopališče Polje,Prosto,16,39,2025-03-24 03:10
Povšetova ulica,Prosto,61,81,2025-03-24 03:10
Sanatorij Emona,Prosto,19,25,2025-03-24 03:10
Slovenčeva ulica,Zasedeno,0,128,2025-03-24 03:10
Tivoli I.,Prosto,327,351,2025-03-24 03:10
Tivoli II.,Prosto,164,159,2025-03-24 03:10
Trg mladinskih delovnih brigad,Prosto,17,26,2025-03-24 03:10
Trg prekomorskih brigad,Prosto,42,61,2025-03-24 03:10
Štembalova ulica,Zasedeno,/,155,2025-03-24 03:10
Žale I.,Prosto,82,125,2025-03-24 03:10
Žale II.,Prosto,77,80,2025-03-24 03:10
Žale III.,Prosto,52,83,2025-03-24 03:10
Žale IV.,Prosto,67,78,2025-03-24 03:10
Žale V.,Prosto,285,100,2025-03-24 03:10
P+R Ježica,Odprto,,,2025-03-24 03:10
P+R Stanežiče,Odprto,,,2025-03-24 03:10
ŠRC Stožice,Prosto,/,509,2025-03-24 03:10
Tacen,Prosto,/,/,2025-03-24 03:10
Bratislavska,Prosto,/,/,2025-03-24 03:10
BS4,Prosto,61,100,2025-03-24 03:10
PH Rog,Prosto,30,80,2025-03-24 03:10
P+R Letališka,Odprto,,,2025-03-24 03:10
Parkirišče PH Ilirija,Odprto,,,2025-03-24 03:10
Bežigrad,Prosto,31,64,2025-03-24 03:26
Dolenjska cesta (Strelišče),Prosto,67,67,2025-03-24 03:26
Gosarjeva ulica,Skoraj polno,12,190,2025-03-24 03:26
Gospodarsko razstavišče,Prosto,435,400,2025-03-24 03:26
Komanova ulica,Zasedeno,/,55,2025-03-24 03:26
PH Kongresni trg,Prosto,290,720,2025-03-24 03:26
Kozolec,Prosto,151,394,2025-03-24 03:26
Kranjčeva ulica,Prosto,55,117,2025-03-24 03:26
Linhartova,Prosto,113,50,2025-03-24 03:26
Metelkova ulica,Prosto,30,89,2025-03-24 03:26
Mirje,Prosto,63,107,2025-03-24 03:26
P+R Barje,Odprto,,,2025-03-24 03:26
P+R Dolgi Most,Odprto,,,2025-03-24 03:26
P+R Studenec,Odprto,,,2025-03-24 03:26
PH Kolezija,Prosto,61,80,2025-03-24 03:26
Pokopališče Polje,Prosto,16,39,2025-03-24 03:26
Povšetova ulica,Prosto,61,81,2025-03-24 03:26
Sanatorij Emona,Prosto,19,25,2025-03-24 03:26
Slovenčeva ulica,Zasedeno,0,128,2025-03-24 03:26
Tivoli I.,Prosto,327,351,2025-03-24 03:26
Tivoli II.,Prosto,164,159,2025-03-24 03:26
Trg mladinskih delovnih brigad,Prosto,17,26,2025-03-24 03:26
Trg prekomorskih brigad,Prosto,42,61,2025-03-24 03:26
Štembalova ulica,Zasedeno,/,155,2025-03-24 03:26
Žale I.,Prosto,82,125,2025-03-24 03:26
Žale II.,Prosto,77,80,2025-03-24 03:26
Žale III.,Prosto,52,83,2025-03-24 03:26
Žale IV.,Prosto,67,78,2025-03-24 03:26
Žale V.,Prosto,285,100,2025-03-24 03:26
P+R Ježica,Odprto,,,2025-03-24 03:26
P+R Stanežiče,Odprto,,,2025-03-24 03:26
ŠRC Stožice,Prosto,/,509,2025-03-24 03:26
Tacen,Prosto,/,/,2025-03-24 03:26
Bratislavska,Prosto,/,/,2025-03-24 03:26
BS4,Prosto,61,100,2025-03-24 03:26
PH Rog,Prosto,30,80,2025-03-24 03:26
P+R Letališka,Odprto,,,2025-03-24 03:26
Parkirišče PH Ilirija,Odprto,,,2025-03-24 03:26
Bežigrad,Prosto,31,64,2025-03-24 03:40
Dolenjska cesta (Strelišče),Prosto,67,67,2025-03-24 03:40
Gosarjeva ulica,Skoraj polno,12,190,2025-03-24 03:40
Gospodarsko razstavišče,Prosto,435,400,2025-03-24 03:40
Komanova ulica,Zasedeno,/,55,2025-03-24 03:40
PH Kongresni trg,Prosto,290,720,2025-03-24 03:40
Kozolec,Prosto,151,394,2025-03-24 03:40
Kranjčeva ulica,Prosto,55,117,2025-03-24 03:40
Linhartova,Prosto,113,50,2025-03-24 03:40
Metelkova ulica,Prosto,30,89,2025-03-24 03:40
Mirje,Prosto,63,107,2025-03-24 03:40
P+R Barje,Odprto,,,2025-03-24 03:40
P+R Dolgi Most,Odprto,,,2025-03-24 03:40
P+R Studenec,Odprto,,,2025-03-24 03:40
PH Kolezija,Prosto,61,80,2025-03-24 03:40
Pokopališče Polje,Prosto,16,39,2025-03-24 03:40
Povšetova ulica,Prosto,61,81,2025-03-24 03:40
Sanatorij Emona,Prosto,19,25,2025-03-24 03:40
Slovenčeva ulica,Zasedeno,0,128,2025-03-24 03:40
Tivoli I.,Prosto,327,351,2025-03-24 03:40
Tivoli II.,Prosto,164,159,2025-03-24 03:40
Trg mladinskih delovnih brigad,Prosto,17,26,2025-03-24 03:40
Trg prekomorskih brigad,Prosto,42,61,2025-03-24 03:40
Štembalova ulica,Zasedeno,/,155,2025-03-24 03:40
Žale I.,Prosto,82,125,2025-03-24 03:40
Žale II.,Prosto,77,80,2025-03-24 03:40
Žale III.,Prosto,52,83,2025-03-24 03:40
Žale IV.,Prosto,67,78,2025-03-24 03:40
Žale V.,Prosto,285,100,2025-03-24 03:40
P+R Ježica,Odprto,,,2025-03-24 03:40
P+R Stanežiče,Odprto,,,2025-03-24 03:40
ŠRC Stožice,Prosto,/,509,2025-03-24 03:40
Tacen,Prosto,/,/,2025-03-24 03:40
Bratislavska,Prosto,/,/,2025-03-24 03:40
BS4,Prosto,61,100,2025-03-24 03:40
PH Rog,Prosto,30,80,2025-03-24 03:40
P+R Letališka,Odprto,,,2025-03-24 03:40
Parkirišče PH Ilirija,Odprto,,,2025-03-24 03:40
Bežigrad,Prosto,31,64,2025-03-24 03:56
Dolenjska cesta (Strelišče),Prosto,82,67,2025-03-24 03:56
Gosarjeva ulica,Skoraj polno,12,190,2025-03-24 03:56
Gospodarsko razstavišče,Prosto,435,400,2025-03-24 03:56
Komanova ulica,Zasedeno,/,55,2025-03-24 03:56
PH Kongresni trg,Prosto,290,720,2025-03-24 03:56
Kozolec,Prosto,151,394,2025-03-24 03:56
Kranjčeva ulica,Prosto,55,117,2025-03-24 03:56
Linhartova,Prosto,113,50,2025-03-24 03:56
Metelkova ulica,Prosto,39,89,2025-03-24 03:56
Mirje,Prosto,87,107,2025-03-24 03:56
P+R Barje,Odprto,,,2025-03-24 03:56
P+R Dolgi Most,Odprto,,,2025-03-24 03:56
P+R Studenec,Odprto,,,2025-03-24 03:56
PH Kolezija,Prosto,61,80,2025-03-24 03:56
Pokopališče Polje,Prosto,16,39,2025-03-24 03:56
Povšetova ulica,Prosto,77,81,2025-03-24 03:56
Sanatorij Emona,Prosto,19,25,2025-03-24 03:56
Slovenčeva ulica,Zasedeno,0,128,2025-03-24 03:56
Tivoli I.,Prosto,327,351,2025-03-24 03:56
Tivoli II.,Prosto,164,159,2025-03-24 03:56
Trg mladinskih delovnih brigad,Prosto,17,26,2025-03-24 03:56
Trg prekomorskih brigad,Prosto,42,61,2025-03-24 03:56
Štembalova ulica,Zasedeno,/,155,2025-03-24 03:56
Žale I.,Prosto,112,125,2025-03-24 03:56
Žale II.,Prosto,80,80,2025-03-24 03:56
Žale III.,Prosto,58,83,2025-03-24 03:56
Žale IV.,Prosto,78,78,2025-03-24 03:56
Žale V.,Prosto,286,100,2025-03-24 03:56
P+R Ježica,Odprto,,,2025-03-24 03:56
P+R Stanežiče,Odprto,,,2025-03-24 03:56
ŠRC Stožice,Prosto,/,509,2025-03-24 03:56
Tacen,Prosto,/,/,2025-03-24 03:56
Bratislavska,Prosto,/,/,2025-03-24 03:56
BS4,Prosto,61,100,2025-03-24 03:56
PH Rog,Prosto,30,80,2025-03-24 03:56
P+R Letališka,Odprto,,,2025-03-24 03:56
Parkirišče PH Ilirija,Odprto,,,2025-03-24 03:56
Bežigrad,Prosto,31,64,2025-03-24 04:10
Dolenjska cesta (Strelišče),Prosto,82,67,2025-03-24 04:10
Gosarjeva ulica,Skoraj polno,12,190,2025-03-24 04:10
Gospodarsko razstavišče,Prosto,435,400,2025-03-24 04:10
Komanova ulica,Zasedeno,/,55,2025-03-24 04:10
PH Kongresni trg,Prosto,289,720,2025-03-24 04:10
Kozolec,Prosto,151,394,2025-03-24 04:10
Kranjčeva ulica,Prosto,55,117,2025-03-24 04:10
Linhartova,Prosto,113,50,2025-03-24 04:10
Metelkova ulica,Prosto,39,89,2025-03-24 04:10
Mirje,Prosto,87,107,2025-03-24 04:10
P+R Barje,Odprto,,,2025-03-24 04:10
P+R Dolgi Most,Odprto,,,2025-03-24 04:10
P+R Studenec,Odprto,,,2025-03-24 04:10
PH Kolezija,Prosto,61,80,2025-03-24 04:10
Pokopališče Polje,Prosto,16,39,2025-03-24 04:10
Povšetova ulica,Prosto,77,81,2025-03-24 04:10
Sanatorij Emona,Prosto,19,25,2025-03-24 04:10
Slovenčeva ulica,Zasedeno,0,128,2025-03-24 04:10
Tivoli I.,Prosto,327,351,2025-03-24 04:10
Tivoli II.,Prosto,164,159,2025-03-24 04:10
Trg mladinskih delovnih brigad,Prosto,17,26,2025-03-24 04:10
Trg prekomorskih brigad,Prosto,42,61,2025-03-24 04:10
Štembalova ulica,Zasedeno,/,155,2025-03-24 04:10
Žale I.,Prosto,112,125,2025-03-24 04:10
Žale II.,Prosto,80,80,2025-03-24 04:10
Žale III.,Prosto,58,83,2025-03-24 04:10
Žale IV.,Prosto,78,78,2025-03-24 04:10
Žale V.,Prosto,286,100,2025-03-24 04:10
P+R Ježica,Odprto,,,2025-03-24 04:10
P+R Stanežiče,Odprto,,,2025-03-24 04:10
ŠRC Stožice,Prosto,/,509,2025-03-24 04:10
Tacen,Prosto,/,/,2025-03-24 04:10
Bratislavska,Prosto,/,/,2025-03-24 04:10
BS4,Prosto,61,100,2025-03-24 04:10
PH Rog,Prosto,30,80,2025-03-24 04:10
P+R Letališka,Odprto,,,2025-03-24 04:10
Parkirišče PH Ilirija,Odprto,,,2025-03-24 04:10
Bežigrad,Prosto,31,64,2025-03-24 04:26
Dolenjska cesta (Strelišče),Prosto,82,67,2025-03-24 04:26
Gosarjeva ulica,Skoraj polno,12,190,2025-03-24 04:26
Gospodarsko razstavišče,Prosto,435,400,2025-03-24 04:26
Komanova ulica,Zasedeno,/,55,2025-03-24 04:26
PH Kongresni trg,Prosto,289,720,2025-03-24 04:26
Kozolec,Prosto,151,394,2025-03-24 04:26
Kranjčeva ulica,Prosto,55,117,2025-03-24 04:26
Linhartova,Prosto,113,50,2025-03-24 04:26
Metelkova ulica,Prosto,39,89,2025-03-24 04:26
Mirje,Prosto,87,107,2025-03-24 04:26
P+R Barje,Odprto,,,2025-03-24 04:26
P+R Dolgi Most,Odprto,,,2025-03-24 04:26
P+R Studenec,Odprto,,,2025-03-24 04:26
PH Kolezija,Prosto,61,80,2025-03-24 04:26
Pokopališče Polje,Prosto,16,39,2025-03-24 04:26
Povšetova ulica,Prosto,77,81,2025-03-24 04:26
Sanatorij Emona,Prosto,19,25,2025-03-24 04:26
Slovenčeva ulica,Zasedeno,0,128,2025-03-24 04:26
Tivoli I.,Prosto,327,351,2025-03-24 04:26
Tivoli II.,Prosto,163,159,2025-03-24 04:26
Trg mladinskih delovnih brigad,Prosto,17,26,2025-03-24 04:26
Trg prekomorskih brigad,Prosto,41,61,2025-03-24 04:26
Štembalova ulica,Zasedeno,/,155,2025-03-24 04:26
Žale I.,Prosto,112,125,2025-03-24 04:26
Žale II.,Prosto,80,80,2025-03-24 04:26
Žale III.,Prosto,58,83,2025-03-24 04:26
Žale IV.,Prosto,78,78,2025-03-24 04:26
Žale V.,Prosto,286,100,2025-03-24 04:26
P+R Ježica,Odprto,,,2025-03-24 04:26
P+R Stanežiče,Odprto,,,2025-03-24 04:26
ŠRC Stožice,Prosto,/,509,2025-03-24 04:26
Tacen,Prosto,/,/,2025-03-24 04:26
Bratislavska,Prosto,/,/,2025-03-24 04:26
BS4,Prosto,61,100,2025-03-24 04:26
PH Rog,Prosto,30,80,2025-03-24 04:26
P+R Letališka,Odprto,,,2025-03-24 04:26
Parkirišče PH Ilirija,Odprto,,,2025-03-24 04:26
Bežigrad,Prosto,31,64,2025-03-24 04:40
Dolenjska cesta (Strelišče),Prosto,82,67,2025-03-24 04:40
Gosarjeva ulica,Skoraj polno,12,190,2025-03-24 04:40
Gospodarsko razstavišče,Prosto,435,400,2025-03-24 04:40
Komanova ulica,Zasedeno,/,55,2025-03-24 04:40
PH Kongresni trg,Prosto,289,720,2025-03-24 04:40
Kozolec,Prosto,151,394,2025-03-24 04:40
Kranjčeva ulica,Prosto,55,117,2025-03-24 04:40
Linhartova,Prosto,113,50,2025-03-24 04:40
Metelkova ulica,Prosto,39,89,2025-03-24 04:40
Mirje,Prosto,87,107,2025-03-24 04:40
P+R Barje,Odprto,,,2025-03-24 04:40
P+R Dolgi Most,Odprto,,,2025-03-24 04:40
P+R Studenec,Odprto,,,2025-03-24 04:40
PH Kolezija,Prosto,61,80,2025-03-24 04:40
Pokopališče Polje,Prosto,16,39,2025-03-24 04:40
Povšetova ulica,Prosto,77,81,2025-03-24 04:40
Sanatorij Emona,Prosto,19,25,2025-03-24 04:40
Slovenčeva ulica,Zasedeno,0,128,2025-03-24 04:40
Tivoli I.,Prosto,345,351,2025-03-24 04:40
Tivoli II.,Prosto,168,159,2025-03-24 04:40
Trg mladinskih delovnih brigad,Prosto,16,26,2025-03-24 04:40
Trg prekomorskih brigad,Prosto,45,61,2025-03-24 04:40
Štembalova ulica,Zasedeno,/,155,2025-03-24 04:40
Žale I.,Prosto,112,125,2025-03-24 04:40
Žale II.,Prosto,80,80,2025-03-24 04:40
Žale III.,Prosto,58,83,2025-03-24 04:40
Žale IV.,Prosto,78,78,2025-03-24 04:40
Žale V.,Prosto,286,100,2025-03-24 04:40
P+R Ježica,Odprto,,,2025-03-24 04:40
P+R Stanežiče,Odprto,,,2025-03-24 04:40
ŠRC Stožice,Prosto,/,509,2025-03-24 04:40
Tacen,Prosto,/,/,2025-03-24 04:40
Bratislavska,Prosto,/,/,2025-03-24 04:40
BS4,Prosto,61,100,2025-03-24 04:40
PH Rog,Prosto,30,80,2025-03-24 04:40
P+R Letališka,Odprto,,,2025-03-24 04:40
Parkirišče PH Ilirija,Odprto,,,2025-03-24 04:40
Bežigrad,Prosto,31,64,2025-03-24 04:56
Dolenjska cesta (Strelišče),Prosto,82,67,2025-03-24 04:56
Gosarjeva ulica,Skoraj polno,11,190,2025-03-24 04:56
Gospodarsko razstavišče,Prosto,434,400,2025-03-24 04:56
Komanova ulica,Zasedeno,/,55,2025-03-24 04:56
PH Kongresni trg,Prosto,289,720,2025-03-24 04:56
Kozolec,Prosto,151,394,2025-03-24 04:56
