Location,Status,Prosto,Na voljo,Datum
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 01:58
Tivoli I.,Prosto,331,351,2025-04-14 01:58
Tivoli II.,Prosto,158,159,2025-04-14 01:58
Trg mladinskih delovnih brigad,Prosto,16,26,2025-04-14 01:58
Trg prekomorskih brigad,Prosto,39,61,2025-04-14 01:58
Štembalova ulica,Zasedeno,/,155,2025-04-14 01:58
Žale I.,Prosto,103,125,2025-04-14 01:58
Žale II.,Prosto,69,80,2025-04-14 01:58
Žale III.,Prosto,55,83,2025-04-14 01:58
Žale IV.,Prosto,77,78,2025-04-14 01:58
Žale V.,Prosto,284,100,2025-04-14 01:58
P+R Ježica,Odprto,,,2025-04-14 01:58
P+R Stanežiče,Odprto,,,2025-04-14 01:58
ŠRC Stožice,Prosto,/,509,2025-04-14 01:58
Tacen,Prosto,/,/,2025-04-14 01:58
Bratislavska,Prosto,/,/,2025-04-14 01:58
BS4,Prosto,53,100,2025-04-14 01:58
PH Rog,Prosto,28,80,2025-04-14 01:58
P+R Letališka,Odprto,,,2025-04-14 01:58
Parkirišče PH Ilirija,Odprto,,,2025-04-14 01:58
Bežigrad,Prosto,54,64,2025-04-14 02:14
Dolenjska cesta (Strelišče),Prosto,45,67,2025-04-14 02:14
Gosarjeva ulica,Skoraj polno,37,190,2025-04-14 02:14
Gospodarsko razstavišče,Prosto,432,400,2025-04-14 02:14
Komanova ulica,Zasedeno,/,55,2025-04-14 02:14
PH Kongresni trg,Prosto,246,720,2025-04-14 02:14
Kozolec,Prosto,99,394,2025-04-14 02:14
Kranjčeva ulica,Prosto,117,117,2025-04-14 02:14
Linhartova,Prosto,110,50,2025-04-14 02:14
Metelkova ulica,Prosto,29,89,2025-04-14 02:14
Mirje,Prosto,85,107,2025-04-14 02:14
P+R Barje,Odprto,,,2025-04-14 02:14
P+R Dolgi Most,Odprto,,,2025-04-14 02:14
P+R Studenec,Odprto,,,2025-04-14 02:14
PH Kolezija,Prosto,62,80,2025-04-14 02:14
Pokopališče Polje,Prosto,38,39,2025-04-14 02:14
Povšetova ulica,Prosto,73,81,2025-04-14 02:14
Sanatorij Emona,Prosto,9,25,2025-04-14 02:14
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 02:14
Tivoli I.,Prosto,331,351,2025-04-14 02:14
Tivoli II.,Prosto,158,159,2025-04-14 02:14
Trg mladinskih delovnih brigad,Prosto,16,26,2025-04-14 02:14
Trg prekomorskih brigad,Prosto,38,61,2025-04-14 02:14
Štembalova ulica,Zasedeno,/,155,2025-04-14 02:14
Žale I.,Prosto,103,125,2025-04-14 02:14
Žale II.,Prosto,69,80,2025-04-14 02:14
Žale III.,Prosto,55,83,2025-04-14 02:14
Žale IV.,Prosto,77,78,2025-04-14 02:14
Žale V.,Prosto,284,100,2025-04-14 02:14
P+R Ježica,Odprto,,,2025-04-14 02:14
P+R Stanežiče,Odprto,,,2025-04-14 02:14
ŠRC Stožice,Prosto,/,509,2025-04-14 02:14
Tacen,Prosto,/,/,2025-04-14 02:14
Bratislavska,Prosto,/,/,2025-04-14 02:14
BS4,Prosto,53,100,2025-04-14 02:14
PH Rog,Prosto,28,80,2025-04-14 02:14
P+R Letališka,Odprto,,,2025-04-14 02:14
Parkirišče PH Ilirija,Odprto,,,2025-04-14 02:14
Bežigrad,Prosto,54,64,2025-04-14 02:30
Dolenjska cesta (Strelišče),Prosto,45,67,2025-04-14 02:30
Gosarjeva ulica,Skoraj polno,37,190,2025-04-14 02:30
Gospodarsko razstavišče,Prosto,432,400,2025-04-14 02:30
Komanova ulica,Zasedeno,/,55,2025-04-14 02:30
PH Kongresni trg,Prosto,247,720,2025-04-14 02:30
Kozolec,Prosto,99,394,2025-04-14 02:30
Kranjčeva ulica,Prosto,117,117,2025-04-14 02:30
Linhartova,Prosto,110,50,2025-04-14 02:30
Metelkova ulica,Prosto,29,89,2025-04-14 02:30
Mirje,Prosto,85,107,2025-04-14 02:30
P+R Barje,Odprto,,,2025-04-14 02:30
P+R Dolgi Most,Odprto,,,2025-04-14 02:30
P+R Studenec,Odprto,,,2025-04-14 02:30
PH Kolezija,Prosto,62,80,2025-04-14 02:30
Pokopališče Polje,Prosto,38,39,2025-04-14 02:30
Povšetova ulica,Prosto,73,81,2025-04-14 02:30
Sanatorij Emona,Prosto,9,25,2025-04-14 02:30
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 02:30
Tivoli I.,Prosto,333,351,2025-04-14 02:30
Tivoli II.,Prosto,158,159,2025-04-14 02:30
Trg mladinskih delovnih brigad,Prosto,16,26,2025-04-14 02:30
Trg prekomorskih brigad,Prosto,39,61,2025-04-14 02:30
Štembalova ulica,Zasedeno,/,155,2025-04-14 02:30
Žale I.,Prosto,103,125,2025-04-14 02:30
Žale II.,Prosto,69,80,2025-04-14 02:30
Žale III.,Prosto,55,83,2025-04-14 02:30
Žale IV.,Prosto,77,78,2025-04-14 02:30
Žale V.,Prosto,284,100,2025-04-14 02:30
P+R Ježica,Odprto,,,2025-04-14 02:30
P+R Stanežiče,Odprto,,,2025-04-14 02:30
ŠRC Stožice,Prosto,/,509,2025-04-14 02:30
Tacen,Prosto,/,/,2025-04-14 02:30
Bratislavska,Prosto,/,/,2025-04-14 02:30
BS4,Prosto,53,100,2025-04-14 02:30
PH Rog,Prosto,28,80,2025-04-14 02:30
P+R Letališka,Odprto,,,2025-04-14 02:30
Parkirišče PH Ilirija,Odprto,,,2025-04-14 02:30
Bežigrad,Prosto,54,64,2025-04-14 02:44
Dolenjska cesta (Strelišče),Prosto,45,67,2025-04-14 02:44
Gosarjeva ulica,Skoraj polno,37,190,2025-04-14 02:44
Gospodarsko razstavišče,Prosto,432,400,2025-04-14 02:44
Komanova ulica,Zasedeno,/,55,2025-04-14 02:44
PH Kongresni trg,Prosto,247,720,2025-04-14 02:44
Kozolec,Prosto,99,394,2025-04-14 02:44
Kranjčeva ulica,Prosto,117,117,2025-04-14 02:44
Linhartova,Prosto,110,50,2025-04-14 02:44
Metelkova ulica,Prosto,29,89,2025-04-14 02:44
Mirje,Prosto,85,107,2025-04-14 02:44
P+R Barje,Odprto,,,2025-04-14 02:44
P+R Dolgi Most,Odprto,,,2025-04-14 02:44
P+R Studenec,Odprto,,,2025-04-14 02:44
PH Kolezija,Prosto,62,80,2025-04-14 02:44
Pokopališče Polje,Prosto,38,39,2025-04-14 02:44
Povšetova ulica,Prosto,73,81,2025-04-14 02:44
Sanatorij Emona,Prosto,9,25,2025-04-14 02:44
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 02:44
Tivoli I.,Prosto,333,351,2025-04-14 02:44
Tivoli II.,Prosto,159,159,2025-04-14 02:44
Trg mladinskih delovnih brigad,Prosto,16,26,2025-04-14 02:44
Trg prekomorskih brigad,Prosto,39,61,2025-04-14 02:44
Štembalova ulica,Zasedeno,/,155,2025-04-14 02:44
Žale I.,Prosto,103,125,2025-04-14 02:44
Žale II.,Prosto,69,80,2025-04-14 02:44
Žale III.,Prosto,55,83,2025-04-14 02:44
